ID;Type;Time;Symbol;Comment;Amount
479502259;Stocks/ETF purchase;27.12.2023 15:42:57;PYPL.US;OPEN BUY 2 @ 62.30;-124.6
477945077;Withholding tax;21.12.2023 11:00:03;CI.US;CI.US USD WHT 30%;-0.74
477945076;Dividend;21.12.2023 11:00:03;CI.US;CI.US USD 1.2300/ SHR;2.46
473476596;SEC fee;11.12.2023 15:05:27;AMZN.US;Sec Fee adj AMZN.US 20231208;-0.01
473014568;Stocks/ETF sale;08.12.2023 20:06:36;AMZN.US;CLOSE BUY 1 @ 147.58;147.58
471951798;Stocks/ETF purchase;06.12.2023 20:15:05;INMD.US;OPEN BUY 11 @ 21.20;-233.2
470143447;Free funds interests tax;02.12.2023 21:53:30;;Free-funds Interest Tax 2023-11;-0.22
470014258;Free funds interests;02.12.2023 14:38:17;;Free-funds Interest 2023-11;1.17
465844805;Stocks/ETF purchase;21.11.2023 15:38:27;AAPL.US;OPEN BUY 1 @ 190.25;-190.25
465761474;Stocks/ETF purchase;21.11.2023 13:57:52;LQQ.FR;OPEN BUY 0.2985 @ 761.20;-249.96
464299490;Stocks/ETF purchase;16.11.2023 13:44:47;LQQ.FR;OPEN BUY 0.304 @ 752.40;-249.94
462928656;Stocks/ETF purchase;14.11.2023 11:24:49;LQQ.FR;OPEN BUY 0.2522 @ 736.00;-199.98
455272269;Withholding tax;25.10.2023 11:00:01;CSCO.US;CSCO.US USD WHT 30%;-0.23
455272268;Dividend;25.10.2023 11:00:01;CSCO.US;CSCO.US USD 0.3900/ SHR;0.78
444254979;Deposit;28.09.2023 10:56:15;;Deposit;401.83
441669472;Withholding tax;21.09.2023 11:00:14;CI.US;CI.US USD WHT 30%;-0.74
441669471;Dividend;21.09.2023 11:00:14;CI.US;CI.US USD 1.2300/ SHR;2.46
440170090;Deposit;18.09.2023 10:45:17;;Deposit;407.3
426181346;Deposit;10.08.2023 10:37:36;;Deposit;280.75
425803398;Stocks/ETF purchase;09.08.2023 14:45:05;CI.US;OPEN BUY 2 @ 290.95;-581.9
420033987;Withholding tax;26.07.2023 11:00:04;CSCO.US;CSCO.US USD WHT 30%;-0.23
420033986;Dividend;26.07.2023 11:00:04;CSCO.US;CSCO.US USD 0.3900/ SHR;0.78
418127648;Deposit;20.07.2023 14:35:06;;Deposit;285.78
418121599;SEC fee;20.07.2023 14:31:56;CVNA.US;Sec Fee adj CVNA.US 20230719;-0.01
417644469;SEC fee;19.07.2023 15:02:12;CVNA.US;Sec Fee adj CVNA.US 20230718;-0.01
417602524;Stocks/ETF sale;19.07.2023 14:30:27;CVNA.US;CLOSE BUY 1 @ 53.50;53.5
417297943;Stocks/ETF sale;18.07.2023 19:10:52;CVNA.US;CLOSE BUY 1 @ 40.90;40.9
416813971;Rollover;17.07.2023 20:21:14;US500;Rollover of position #991498946;-22.1
416813970;Swap;17.07.2023 20:21:14;US500;Swap of position #991498946;-18.65
416813969;Profit/Loss (FX/CFD);17.07.2023 20:21:14;US500;Profit of position #991498946;91.45
415600488;SEC fee;13.07.2023 15:40:11;CVNA.US;Sec Fee adj CVNA.US 20230712;-0.01
415165426;Stocks/ETF sale;12.07.2023 19:00:10;CVNA.US;CLOSE BUY 1 @ 42.40;42.4
406987589;Stocks/ETF purchase;21.06.2023 14:30:17;AMZN.US;OPEN BUY 1 @ 125.58;-125.58
403174115;Stocks/ETF purchase;12.06.2023 18:39:14;CVNA.US;OPEN BUY 3 @ 20.45;-61.35
400687902;Deposit;06.06.2023 10:31:22;;Deposit ;336.55
399776860;Stocks/ETF purchase;02.06.2023 15:55:13;PYPL.US;OPEN BUY 1/1.55 @ 64.23;-64.23
399776840;Stocks/ETF purchase;02.06.2023 15:55:12;PYPL.US;OPEN BUY 0.55/1.55 @ 64.24;-35.33
397981597;Stocks/ETF purchase;30.05.2023 14:30:50;CSCO.US;OPEN BUY 2 @ 50.24;-100.48
396876521;Deposit;26.05.2023 10:41:29;;Deposit;209.8